show_id,Title,Year,Age,IMDb,Rotten Tomatoes
243,Marianne,2019,18+,7.5,93%
244,Star Trek: Enterprise,2001,7+,7.5,50%
245,Portlandia,2011,16+,7.8,94%
246,Better Than Us,2018,,7.4,100%
247,Five Came Back,2017,16+,8.3,97%
248,American Crime,2015,16+,7.8,97%
249,Skins,2007,18+,8.2,
250,Glitch,2015,16+,7.4,80%
251,GHOUL,2018,18+,7.1,83%
252,JoJo's Bizarre Adventure,2012,18+,8.4,
253,The Society,2019,18+,7,85%
254,Code Geass: Lelouch of the Rebellion,2006,18+,8.6,
255,Dracula,2020,18+,6.8,74%
256,Quantico,2015,16+,6.7,82%
257,The Innocence Files,2020,,8,100%
258,Medici: Masters of Florence,2016,7+,7.9,
259,She-Ra and the Princesses of Power,2018,all,7.3,97%
260,Versailles,2015,16+,7.9,66%
261,Rise of Empires: Ottoman,2020,18+,8,
262,The Mechanism,2018,16+,8.4,80%
263,Everything Sucks!,2018,16+,7.5,72%
264,Raising Dion,2019,7+,7.2,82%
265,All American,2018,16+,7.7,96%
266,Fullmetal Alchemist,2003,16+,8.6,
267,The Rain,2018,18+,6.3,82%
268,ERASED,2016,16+,8.5,
269,Nailed It!,2018,7+,7.4,98%
270,Last Tango in Halifax,2012,16+,8.3,98%
271,Star-Crossed,2014,16+,7.3,57%
272,The Politician,2019,16+,7.5,57%
273,Documentary Now!,2015,18+,8.1,94%
274,Baby,2018,18+,6.8,80%
275,Secret City,2016,16+,7.4,100%
276,Abstract: The Art of Design,2017,16+,8.4,100%
277,Shooter,2016,16+,7.5,44%
278,Marcella,2016,18+,7.4,65%
279,The Chef Show,2019,18+,8.2,100%
280,Rurouni Kenshin,1996,16+,8.5,
281,The Seven Deadly Sins,2014,16+,8.1,
282,InuYasha,2000,16+,7.9,
283,Yeh Meri Family,2018,,9.2,
284,The Circle,2020,18+,7.5,80%
285,The Devil Next Door,2019,18+,7.6,91%
286,Flowers,2016,,8.2,100%
287,Descendants of the Sun,2016,16+,8.4,
288,The Hollow,2018,7+,7.2,100%
289,Frontier,2016,18+,7.2,75%
290,Your Lie in April,2014,7+,8.6,
291,Ancient Aliens,2010,7+,7.3,
292,Sword Art Online,2012,16+,7.6,
293,Frequency,2016,7+,7.5,77%
294,Wentworth,2013,18+,8.6,
295,Beauty and the Beast,2012,16+,7,51%
296,Cold Justice,2013,16+,7.9,80%
297,Hyperdrive,2019,7+,8.1,100%
298,Time: The Kalief Browder Story,2017,16+,8.5,100%
299,The Toys That Made Us,2017,16+,8.1,100%
300,Seven Seconds,2018,18+,7.7,77%
301,Spinning Out,2020,18+,7.7,63%
302,Killer Inside: The Mind of Aaron Hernandez,2020,18+,7.4,75%
303,El internado,2007,7+,8.2,
304,Frozen Planet,2011,all,9,
305,London Spy,2015,18+,7.5,86%
306,Parasyte -the maxim-,2014,18+,8.4,
307,Containment,2016,16+,7.2,50%
308,Black Lightning,2018,16+,6.1,95%
309,Merlí,2015,16+,8.6,
310,Derek,2013,16+,8,68%
311,Last Chance U,2016,16+,8.5,93%
312,Mars,2016,7+,7.5,61%
313,Love is Blind,2020,7+,6,73%
314,Love 101,2020,18+,7.7,
315,3%,2016,7+,7.4,33%
316,Zoo,2015,16+,6.8,82%
317,Daybreak,2019,18+,6.7,70%
318,Hemlock Grove,2013,18+,7.1,38%
319,Trailer Park Boys,2001,18+,8.4,
320,Private Practice,2007,16+,6.6,51%
321,Ragnarok,2020,18+,7.5,
322,Akame ga Kill!,2014,18+,7.9,
323,Insatiable,2018,16+,6.6,11%
324,No Tomorrow,2016,7+,7.2,88%
325,The Ranch,2016,16+,7.5,
326,Ramayan,1987,all,9.3,
327,Surviving R. Kelly,2019,18+,7.6,95%
328,Easy,2016,18+,6.9,90%
329,Self Made: Inspired by the Life of Madam C.J. Walker,2020,16+,7.4,77%
330,Knightfall,2017,16+,6.8,60%
331,Kim's Convenience,2016,16+,8.1,
332,Kengan Ashura,2019,,8,
333,Spotless,2015,,7.9,100%
334,Carmen Sandiego,2019,7+,7.9,93%
335,Inside Bill's Brain: Decoding Bill Gates,2019,16+,8,50%
336,Saint Seiya,1986,7+,8.4,
337,Flint Town,2018,18+,8,95%
338,Rake,2010,16+,8.6,100%
339,Rilakkuma and Kaoru,2019,7+,8.4,100%
340,Scooby-Doo! Mystery Incorporated,2010,7+,8,
341,anohana: The Flower We Saw That Day,2011,16+,8.2,
342,Africa,2013,all,9,
343,The Frankenstein Chronicles,2015,16+,7.3,78%
344,Meteor Garden,2018,16+,8.2,
345,Wu Assassins,2019,18+,6.4,83%
346,The Black Donnellys,2007,16+,8.1,40%
347,H2O: Just Add Water,2006,all,7.2,
348,Collateral,2018,7+,6.7,78%
349,1983,2018,18+,6.8,100%
350,November 13: Attack on Paris,2018,18+,8.3,100%
351,Black Butler,2008,16+,7.8,
352,Green Eggs and Ham,2019,,8.2,100%
353,The Confession Tapes,2017,16+,7.5,100%
354,Bad Blood,2017,18+,7.5,80%
355,Formula 1: Drive to Survive,2019,16+,8.6,
356,The Great British Bake Off,2010,7+,8.6,
357,The Trials of Gabriel Fernandez,2020,18+,8.2,80%
358,Ugly Delicious,2018,18+,7.8,100%
359,The Night Shift,2014,16+,7.4,30%
360,Impractical Jokers,2011,16+,8.5,
361,The Andy Griffith Show,1960,all,8.3,
362,Itaewon Class,2020,,8.2,
363,Aquarius,2015,16+,7.1,77%
364,Caliphate,2020,,8.2,
365,Black Summer,2019,18+,6.4,75%
366,Bonding,2019,16+,7.2,64%
367,Miraculous: Tales of Ladybug & Cat Noir,2015,7+,7.8,
368,Animaniacs,1993,all,7.9,
369,When Calls the Heart,2014,all,8.2,
370,Young & Hungry,2014,16+,7.4,60%
371,Club de Cuervos,2015,18+,8.2,80%
372,I'm Sorry,2017,7+,7.9,75%
373,The Universe,2007,16+,8.8,
374,The Chalet,2018,18+,7,100%
375,My Next Guest Needs No Introduction With David Letterman,2018,18+,7.9,83%
376,Still Game,2002,16+,8.9,
377,NOVA,1974,7+,8.7,
378,The Confession Killer,2019,16+,7.4,100%
379,Father Brown,2013,7+,7.7,
380,Bordertown,2016,7+,7.6,39%
381,Battle Creek,2015,16+,7.3,96%
382,Valhalla Murders,2019,18+,7.1,
383,Scream: The TV Series,2015,16+,7.2,
384,Special,2019,18+,7.6,95%
385,CSI: Miami,2002,16+,6.4,
386,3Below: Tales of Arcadia,2018,7+,7.8,100%
387,Mystery Science Theater 3000: The Return,2017,16+,8,100%
388,Dear White People,2017,16+,6.2,95%
389,LEGO Ninjago: Masters of Spinjitzu,2012,all,6.8,
390,The English Game,2020,,7.6,67%
391,White Gold,2017,18+,7.4,88%
392,Crazyhead,2016,,7.3,100%
393,The Protector,2018,16+,6.9,
394,Dirty John,2018,16+,7.1,71%
395,Get Shorty,2017,18+,8.2,
396,30 for 30,2009,7+,8.8,
397,Bard of Blood,2019,,7,
398,The Great Train Robbery,2013,,7.4,78%
399,Devilman: Crybaby,2018,,7.6,80%
400,Good Witch,2015,7+,7.3,
401,It's Bruno!,2019,7+,7.5,100%
402,Gurren Lagann,2007,16+,8.3,
403,Gentefied,2020,16+,7.3,88%
404,Victorious,2010,7+,6.9,
405,Dynasty,2017,16+,7.3,
406,The Curious Creations of Christine McConnell,2018,7+,7.7,100%
407,El Chapo,2017,16+,7.8,
408,Trinkets,2019,7+,7.1,50%
409,The Get Down,2016,16+,8.3,
410,Masum,2017,16+,8.5,
411,My Little Pony: Friendship Is Magic,2010,7+,7.6,
412,Fuller House,2016,7+,6.8,28%
413,Kill la Kill,2013,18+,7.9,
414,Dark Tourist,2018,18+,7.6,70%
415,Shtisel,2013,,8.7,
416,Great News,2017,7+,7,84%
417,Ouran High School Host Club,2006,16+,8.2,
418,Grand Hotel,2011,7+,8.4,
419,The Curse of Oak Island,2014,7+,7,
420,Workin' Moms,2017,18+,7.5,
421,Z Nation,2014,18+,6.7,
422,Losers,2019,,7.7,100%
423,"Roswell, New Mexico",2019,16+,6.1,55%
424,Comedians in Cars Getting Coffee,2012,16+,8.1,
425,Conan,2010,16+,8.1,
426,The Guild,2007,,8.2,
427,Friends from College,2017,18+,6.8,24%
